values,Int_long,Int_lat,Int_depth
34.85566877,-19.5,-94.5,0
34.8253411,-14.5,-94.5,0
34.79501343,-9.5,-94.5,0
34.76468576,-4.5,-94.5,0
34.73435808,0.5,-94.5,0
34.70403041,5.5,-94.5,0
34.67370274,10.5,-94.5,0
34.64337507,15.5,-94.5,0
34.61304739,20.5,-94.5,0
34.58271972,25.5,-94.5,0
34.55239205,30.5,-94.5,0
34.52206438,35.5,-94.5,0
34.4917367,40.5,-94.5,0
34.46140903,45.5,-94.5,0
34.43108136,50.5,-94.5,0
34.40075369,55.5,-94.5,0
34.37042602,60.5,-94.5,0
34.34009834,65.5,-94.5,0
34.30977067,70.5,-94.5,0
34.279443,75.5,-94.5,0
34.24911533,80.5,-94.5,0
34.21878765,85.5,-94.5,0
34.18845998,90.5,-94.5,0
34.15813231,95.5,-94.5,0
34.12780464,100.5,-94.5,0
34.09747697,105.5,-94.5,0
34.06714929,110.5,-94.5,0
34.03682162,115.5,-94.5,0
34.00649395,120.5,-94.5,0
33.97616628,125.5,-94.5,0
33.9458386,130.5,-94.5,0
33.91551093,135.5,-94.5,0
33.88518326,140.5,-94.5,0
33.85485559,145.5,-94.5,0
33.82452791,150.5,-94.5,0
33.79420024,155.5,-94.5,0
33.76387257,160.5,-94.5,0
33.7335449,165.5,-94.5,0
33.70321723,170.5,-94.5,0
33.67288955,175.5,-94.5,0
33.64256188,180.5,-94.5,0
33.61223421,185.5,-94.5,0
33.58190654,190.5,-94.5,0
33.55157886,195.5,-94.5,0
33.53641503,200.5,-94.5,0
33.13704099,205.5,-94.5,0
32.75048678,210.5,-94.5,0
32.7761263,215.5,-94.5,0
32.80176583,220.5,-94.5,0
32.82740535,225.5,-94.5,0
32.85304488,230.5,-94.5,0
32.8786844,235.5,-94.5,0
32.90432392,240.5,-94.5,0
32.92996345,245.5,-94.5,0
32.95560297,250.5,-94.5,0
32.9812425,255.5,-94.5,0
33.00688202,260.5,-94.5,0
33.03252155,265.5,-94.5,0
33.05816107,270.5,-94.5,0
33.08380059,275.5,-94.5,0
33.10944012,280.5,-94.5,0
33.13507964,285.5,-94.5,0
33.16071917,290.5,-94.5,0
33.18635869,295.5,-94.5,0
33.21199821,300.5,-94.5,0
33.23763774,305.5,-94.5,0
33.26327726,310.5,-94.5,0
33.28891679,315.5,-94.5,0
33.31455631,320.5,-94.5,0
33.39776608,325.5,-94.5,0
33.65368649,330.5,-94.5,0
33.9096069,335.5,-94.5,0
34.16552731,340.5,-94.5,0
34.42144772,345.5,-94.5,0
34.67736812,350.5,-94.5,0
34.93328853,355.5,-94.5,0
35.18920894,360.5,-94.5,0
35.44512935,365.5,-94.5,0
35.70104976,370.5,-94.5,0
35.95697017,375.5,-94.5,0
34.86325071,-19.5,-89.5,0
34.83292304,-14.5,-89.5,0
34.80259536,-9.5,-89.5,0
34.77226769,-4.5,-89.5,0
34.74194002,0.5,-89.5,0
34.71161235,5.5,-89.5,0
34.68128467,10.5,-89.5,0
34.650957,15.5,-89.5,0
34.62062933,20.5,-89.5,0
34.59030166,25.5,-89.5,0
34.55997398,30.5,-89.5,0
34.52964631,35.5,-89.5,0
34.49931864,40.5,-89.5,0
34.46899097,45.5,-89.5,0
34.4386633,50.5,-89.5,0
34.40833562,55.5,-89.5,0
34.37800795,60.5,-89.5,0
34.34768028,65.5,-89.5,0
34.31735261,70.5,-89.5,0
34.28702493,75.5,-89.5,0
34.25669726,80.5,-89.5,0
34.22636959,85.5,-89.5,0
34.19604192,90.5,-89.5,0
34.16571425,95.5,-89.5,0
34.13538657,100.5,-89.5,0
34.1050589,105.5,-89.5,0
34.07473123,110.5,-89.5,0
34.04440356,115.5,-89.5,0
34.01407588,120.5,-89.5,0
33.98374821,125.5,-89.5,0
33.95342054,130.5,-89.5,0
33.92309287,135.5,-89.5,0
33.89276519,140.5,-89.5,0
33.86243752,145.5,-89.5,0
33.83210985,150.5,-89.5,0
33.80178218,155.5,-89.5,0
33.77145451,160.5,-89.5,0
33.74112683,165.5,-89.5,0
33.71079916,170.5,-89.5,0
33.68047149,175.5,-89.5,0
33.65014382,180.5,-89.5,0
33.61981614,185.5,-89.5,0
33.58948847,190.5,-89.5,0
33.5591608,195.5,-89.5,0
33.53641505,200.5,-89.5,0
32.93735402,205.5,-89.5,0
32.75689668,210.5,-89.5,0
32.7825362,215.5,-89.5,0
32.80817572,220.5,-89.5,0
32.83381525,225.5,-89.5,0
32.85945477,230.5,-89.5,0
32.8850943,235.5,-89.5,0
32.91073382,240.5,-89.5,0
32.93637334,245.5,-89.5,0
32.96201287,250.5,-89.5,0
32.98765239,255.5,-89.5,0
33.01329192,260.5,-89.5,0
33.03893144,265.5,-89.5,0
33.06457097,270.5,-89.5,0
33.09021049,275.5,-89.5,0
33.11585001,280.5,-89.5,0
33.14148954,285.5,-89.5,0
33.16712906,290.5,-89.5,0
33.19276859,295.5,-89.5,0
33.21840811,300.5,-89.5,0
33.24404764,305.5,-89.5,0
33.26968716,310.5,-89.5,0
33.29532668,315.5,-89.5,0
33.32096621,320.5,-89.5,0
33.46174619,325.5,-89.5,0
33.7176666,330.5,-89.5,0
33.97358701,335.5,-89.5,0
34.22950742,340.5,-89.5,0
34.48542783,345.5,-89.5,0
34.74134824,350.5,-89.5,0
34.99726865,355.5,-89.5,0
35.25318905,360.5,-89.5,0
35.50910946,365.5,-89.5,0
35.76502987,370.5,-89.5,0
36.02095028,375.5,-89.5,0
34.87083264,-19.5,-84.5,0
34.84050497,-14.5,-84.5,0
34.8101773,-9.5,-84.5,0
34.77984963,-4.5,-84.5,0
34.74952195,0.5,-84.5,0
34.71919428,5.5,-84.5,0
34.68886661,10.5,-84.5,0
34.65853894,15.5,-84.5,0
34.62821126,20.5,-84.5,0
34.59788359,25.5,-84.5,0
34.56755592,30.5,-84.5,0
34.53722825,35.5,-84.5,0
34.50690058,40.5,-84.5,0
34.4765729,45.5,-84.5,0
34.44624523,50.5,-84.5,0
34.41591756,55.5,-84.5,0
34.38558989,60.5,-84.5,0
34.35526221,65.5,-84.5,0
34.32493454,70.5,-84.5,0
34.29460687,75.5,-84.5,0
34.2642792,80.5,-84.5,0
34.23395153,85.5,-84.5,0
34.20362385,90.5,-84.5,0
34.17329618,95.5,-84.5,0
34.14296851,100.5,-84.5,0
34.11264084,105.5,-84.5,0
34.08231316,110.5,-84.5,0
34.05198549,115.5,-84.5,0
34.02165782,120.5,-84.5,0
33.99133015,125.5,-84.5,0
33.96100247,130.5,-84.5,0
33.9306748,135.5,-84.5,0
33.90034713,140.5,-84.5,0
33.87001946,145.5,-84.5,0
33.83969179,150.5,-84.5,0
33.80936411,155.5,-84.5,0
33.77903644,160.5,-84.5,0
33.74870877,165.5,-84.5,0
33.7183811,170.5,-84.5,0
33.68805342,175.5,-84.5,0
33.65772575,180.5,-84.5,0
33.62739808,185.5,-84.5,0
33.59707041,190.5,-84.5,0
33.56674273,195.5,-84.5,0
33.53641506,200.5,-84.5,0
32.73766705,205.5,-84.5,0
32.76330657,210.5,-84.5,0
32.7889461,215.5,-84.5,0
32.81458562,220.5,-84.5,0
32.84022514,225.5,-84.5,0
32.86586467,230.5,-84.5,0
32.89150419,235.5,-84.5,0
32.91714372,240.5,-84.5,0
32.94278324,245.5,-84.5,0
32.96842277,250.5,-84.5,0
32.99406229,255.5,-84.5,0
33.01970181,260.5,-84.5,0
33.04534134,265.5,-84.5,0
33.07098086,270.5,-84.5,0
33.09662039,275.5,-84.5,0
33.12225991,280.5,-84.5,0
33.14789944,285.5,-84.5,0
33.17353896,290.5,-84.5,0
33.19917848,295.5,-84.5,0
33.22481801,300.5,-84.5,0
33.25045753,305.5,-84.5,0
33.27609706,310.5,-84.5,0
33.30173658,315.5,-84.5,0
33.32737611,320.5,-84.5,0
33.5257263,325.5,-84.5,0
33.78164671,330.5,-84.5,0
34.03756712,335.5,-84.5,0
34.29348753,340.5,-84.5,0
34.54940794,345.5,-84.5,0
34.80532835,350.5,-84.5,0
35.06124876,355.5,-84.5,0
35.31716917,360.5,-84.5,0
35.57308958,365.5,-84.5,0
35.82900998,370.5,-84.5,0
36.08493039,375.5,-84.5,0
34.87841458,-19.5,-79.5,0
34.84808691,-14.5,-79.5,0
34.81775923,-9.5,-79.5,0
34.78743156,-4.5,-79.5,0
34.75710389,0.5,-79.5,0
34.72677622,5.5,-79.5,0
34.69644855,10.5,-79.5,0
34.66612087,15.5,-79.5,0
34.6357932,20.5,-79.5,0
34.60546553,25.5,-79.5,0
34.57513786,30.5,-79.5,0
34.54481018,35.5,-79.5,0
34.51448251,40.5,-79.5,0
34.48415484,45.5,-79.5,0
34.45382717,50.5,-79.5,0
34.42349949,55.5,-79.5,0
34.39317182,60.5,-79.5,0
34.36284415,65.5,-79.5,0
34.33251648,70.5,-79.5,0
34.30218881,75.5,-79.5,0
34.27186113,80.5,-79.5,0
34.24153346,85.5,-79.5,0
34.21120579,90.5,-79.5,0
34.57352896,95.5,-79.5,0
34.93585212,100.5,-79.5,0
35.29817529,105.5,-79.5,0
35.66049846,110.5,-79.5,0
36.02282163,115.5,-79.5,0
36.3851448,120.5,-79.5,0
